ASX Code,Company Name,Status,NCA Intangibles(ExGW)
D2O,Duxton Water Limited,Trading,"231,695,000.00"
DAF,Discovery Africa Limited ,Trading,0
DAU,Dampier Gold Limited,Trading,0
DAV,Davenport Resources Limited,Trading,0
DBBF,BetaShares Diversified Balanced ETF,Trading,--
DBF,Duxton Broadacre Farms Limited,Trading,"7,090,000.00"
DCC,DigitalX Limited,Trading,0
DCG,Decmil Group Limited,Trading,0
DCL,DomaCom Limited,Trading,"1,697,737.00"
DCN,Dacian Gold Limited,Trading,0
DCX,DiscovEx Resources Limited,Trading,0
DDB,Dynamic Drill and Blast Holdings Limited,Trading,0
DDD,3D Resources Limited,Trading,0
DDF,Deutsche Diversified Trust,Suspended,--
DDR,Dicker Data Limited,Trading,"8,491,000.00"
DDT,DataDot Technology Limited,Trading,0
DEG,De Grey Mining Limited,Trading,0
DEM,De.mem Limited,Trading,0
DEV,DevEx Resources Limited,Trading,0
DGGF,BetaShares Diversified Growth ETF,Trading,--
DGH,Desane Group Holdings Limited,Trading,--
DGO,DGO Gold Limited,Trading,0
DGR,DGR Global Limited,Trading,0
DHG,Domain Holdings Australia Limited,Trading,"335,695,000.00"
DHHF,BetaShares Diversified High Growth ETF,Trading,--
DIT,Deutsche Industrial Trust,Suspended,--
DJRE,SPDR Dow Jones Global Real Estate Fund,Trading,--
DJW,Djerriwarrh Investments Limited,Trading,--
DKM,Duketon Mining Limited,Trading,0
DLC,Delecta Limited,Trading,0
DME,Dome Gold Mines Limited,Trading,0
DMG,Dragon Mountain Gold Limited,Suspended,0
DMKT,AMP Capital Dynamic Markets Fund (Hedge Fund),Trading,--
DMP,Domino's Pizza Enterprises Limited,Trading,"386,705,000.00"
DNA,Donaco International Limited,Trading,"27,515,353.00"
DNK,Danakali Limited,Trading,0
DOR,Doriemus PLC,Trading,"419,475.00"
DOT,Deutsche Office Trust,Suspended,--
DOU,Douugh Limited,Trading,--
DOW,Downer EDI Limited,Trading,"614,800,000.00"
DRE,Dreadnought Resources Ltd,Trading,0
DRO,DroneShield Limited,Trading,"37,632.00"
DRR,Deterra Royalties Limited,Trading,--
DRUG,Betashares Global Healthcare ETF - Currency Hedged,Trading,--
DRX,Diatreme Resources Limited,Trading,0
DSE,Dropsuite Limited,Trading,"454,924.00"
DTC,Damstra Holdings Limited,Trading,"13,286,000.00"
DTI,DTI Group Limited,Trading,"348,076.00"
DTL,Data3 Limited,Trading,"5,166,000.00"
DTM,Dart Mining NL,Trading,0
DTR,Dateline Resources Limited ,Trading,0
DTS,Dragontail Systems Limited,Trading,0
DTZ,Dotz Nano Limited,Trading,0
DUB,Dubber Corporation Limited,Trading,"4,137,010.00"
DUG,DUG Technology Ltd,Trading,"451,041.00"
DUI,Diversified United Investment Limited,Trading,--
DVDY,VanEck Vectors Morningstar Australian Moat Income ETF,Trading,--
DVL,Dorsavi Ltd,Trading,0
DVN,Devine Limited,Trading,--
DW8,Digital Wine Ventures Limited,Trading,"356,086.00"
DWS,DWS Limited,Trading,"98,859,000.00"
DXB,Dimerix Limited,Trading,0
DXN,DXN Limited,Trading,"1,734,707.00"
DXS,Dexus,Trading,--
DYL,Deep Yellow Limited,Trading,0
DZZF,BetaShares Diversified Conservative Income ETF,Trading,--
E200,SPDR S&P/ASX 200 ESG Fund,Trading,--
E25,Element 25 Limited,Trading,0
E2E,Eon NRG Limited,Suspended,0
E2M,E2 Metals Limited,Trading,0
E88,Ensogo Limited,Suspended,--
EAF,Evans & Partners Asia Fund,Trading,--
EAI,Ellerston Asian Investment Limited,Trading,--
EAS,Easton Investments Limited,Trading,--
EAX,Energy Action Limited,Trading,"514,695.00"
EBG,Eumundi Group Limited,Trading,"1,805,000.00"
EBND,VanEck Emerging Income Opportunities Active ETF (Managed Fund),Trading,--
EBO,EBOS Group Limited,Trading,"166,292,000.00"
ECF,Elanor Commercial Property Fund,Trading,--
ECG,Ecargo Holdings Limited,Trading,"8,223,088.00"
ECL,Excelsior Capital Ltd,Trading,"1,536,000.00"
ECP,ECP Emerging Growth Limited,Trading,--
ECS,ECS Botanics Holdings Ltd ,Trading,0
ECT,Environmental Clean Technologies Limited,Trading,0
ECX,Eclipx Group Limited,Trading,"34,483,000.00"
ED1,Evans Dixon Limited,Trading,--
EDC,Eildon Capital Limited,Trading,--
EDE,Eden Innovations Ltd,Trading,"8,223,113.00"
EEG,Empire Energy Group Limited,Trading,0
EER,East Energy Resources Limited,Suspended,0
EEU,BetaShares Euro ETF,Trading,--
EFE,Eastern Iron Limited,Trading,0
EFF,Evans & Partners Australian Flagship Fund,Suspended,--
EGD,Evans & Partners Global Disruption Fund,Trading,--
EGF,Evans & Partners Global Flagship Fund,Trading,--
EGG,Enero Group Limited,Trading,"1,105,000.00"
EGH,Eureka Group Holdings Limited,Trading,--
EGL,The Environmental Group Limited,Trading,"288,533.00"
EGN,Engenco Limited,Trading,"127,000.00"
EGR,EcoGraf Limited,Trading,0
EGY,Energy Technologies Limited,Trading,"4,737,132.00"
EHE,Estia Health Limited,Trading,"226,950,000.00"
EHH,Eagle Health Holdings Limited,Suspended,"447,000.00"
EHL,Emeco Holdings Limited,Trading,"2,247,000.00"
EHX,EHR Resources Limited,Trading,--
EIGA,Einvest Income Generator Fund (Managed Fund),Trading,--
EINC,Betashares Legg Mason Equity Income Fund (Managed Fund),Trading,--
ELD,Elders Limited,Trading,"106,877,000.00"
ELE,Elmore Ltd,Suspended,0
ELO,ELMO Software Limited,Trading,"33,336,000.00"
ELS,Elsight Limited,Trading,"202,553.00"
ELT,Elementos Limited,Trading,0
EM1,Emerge Gaming Limited,Trading,0
EM2,Eagle Mountain Mining Limited,Trading,0
EMB,Embelton Limited,Trading,"397,334.00"
EMD,Emyria Limited,Trading,"147,310.00"
EME,Energy Metals Limited,Trading,0
EMH,European Metals Holdings Limited,Trading,0
EMKT,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF,Trading,--
EML,EML Payments Limited,Trading,"116,982,000.00"
EMMG,BetaShares Legg Mason Emerging Markets Fund (managed fund),Trading,--
EMN,Euro Manganese Inc,Trading,0
EMP,Emperor Energy Limited,Trading,0
EMR,Emerald Resources NL,Trading,0
EMT,eMetals Limited,Trading,0
EMU,Emu NL,Trading,0
EMV,EMvision Medical Devices Limited,Trading,"480,000.00"
EN1,engage:BDR Limited,Trading,"3,032,083.00"
ENA,Ensurance Ltd,Trading,--
ENB,Eneabba Gas Limited,Suspended,--
ENE,Enevis Limited,Trading,"33,379.00"
ENN,Elanor Investor Group,Trading,--
ENR,Encounter Resources Limited,Trading,0
ENT,Enterprise Metals Limited,Trading,0
ENV,eNova Mining Limited,Trading,0
ENX,Enegex Limited,Trading,0
EOF,Ecofibre Limited,Trading,"659,000.00"
EOL,Energy One Limited,Trading,"14,128,000.00"
EOS,Electro Optic Systems Holdings Limited,Trading,"17,235,701.00"
EPD,Empired Ltd,Trading,"9,654,534.00"
EPM,Eclipse Metals Ltd,Trading,0
EQE,Equus Mining Limited,Trading,0
EQT,Equity Holdings Limited,Trading,--
EQX,Equatorial Resources Limited,Trading,0
ERA,Energy Resources of Australia Limited,Trading,0
ERD,EROAD Limited,Trading,--
ERF,Elanor Retail Property Fund,Trading,--
ERG,Eneco Refresh Ltd,Trading,"16,642.00"
ERL,Empire Resources Limited,Trading,0
ERM,Emmerson Resources Limited,Trading,0
ESE,Esense-Lab Ltd,Suspended,0
ESGI,VanEck Vectors MSCI International Sustainable Equity ETF,Trading,--
ESH,Esports Mogul Limited,Trading,"1,372,614.00"
ESK,Etherstack PLC,Trading,"4,703,111.00"
ESPO,VanEck Vectors Video Gaming and eSports ETF,Trading,--
ESR,Estrella Resources Limited,Trading,0
ESS,Essential Metals Limited,Trading,0
ESTX,ETFS EURO STOXX 50 ETF,Trading,--
ETHI,Betashares Global Sustainability Leaders ETF,Trading,--
ETPMAG,ETFS Physical Silver,Trading,--
ETPMPD,ETFS Physical Palladium,Trading,--
ETPMPM,ETFS Physical PM Basket,Trading,--
ETPMPT,ETFS Physical Platinum,Trading,--
EUC,European Cobalt Limited,Trading,0
EUR,European Lithium Limited,Trading,0
EVE,EVE Investments Limited,Trading,"123,873.00"
EVN,Evolution Mining Limited,Trading,0
EVO,Evolve Education Group Limited,Trading,"3,136,394.00"
EVS,EnviroSuite Limited,Trading,"19,556,000.00"
EVT,Event Hospitality and Entertainment Ltd,Trading,"34,759,000.00"
EVZ,EVZ Limited,Trading,0
EWC,Energy World Corporation Ltd,Trading,0
EX1,Exopharm Limited,Trading,"325,000.00"
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF,Trading,--
EXL,Elixinol Global Limited,Trading,"11,768,000.00"
EXO,Ennox Group Ltd,Suspended,--
EXP,Experience Co Limited,Trading,"895,000.00"
EXR,Elixir Energy Limited,Trading,0
EYE,Nova Eye Medical Limited,Trading,"3,341,000.00"
EZL,Euroz Limited,Trading,--
F100,BetaShares FTSE 100 ETF,Trading,--
FAIR,BetaShares Australian Sustainability Leaders ETF,Trading,--
FANG,ETFS FANG+ ETF,Trading,--
FAR,Far Limited,Suspended,0
FAU,First Au Limited,Trading,0
FBR,FBR Ltd,Trading,0
FBU,Fletcher Building Limited,Trading,"397,084,929.00"
FCL,FINEOS Corporation Holdings PLC,Trading,"87,312,893.00"
FCT,Firstwave Cloud Technology Limited,Trading,"6,667,519.00"
FDM,Freedom Oil and Gas Ltd,Suspended,"93,510.00"
FDV,Frontier Digital Ventures Limited,Trading,"6,270,612.00"
FDX,Frontier Diamonds Limited,Suspended,0
FE8,Faster Enterprises Ltd,Suspended,--
FEI,FE Investments Group Limited,Suspended,"2,171,997.00"
FEL,Fe Limited,Trading,0
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund),Trading,--
FEX,Fenix Resources Ltd,Trading,0
FFC,Farmaforce Limited,Trading,0
FFF,Forbidden Foods Limited,Trading,"50,414.00"
FFG,Fatfish Group Limited,Trading,"532,573.00"
FFI,FFI Holdings Limited,Trading,"202,530.00"
FFL,Founders First Limited,Trading,"493,521.00"
FFR,Firefly Resources Limited,Trading,0
FGG,Future Generation Global Investment Company Ltd,Trading,--
FGL,Frugl Group Limited,Trading,--
FGO,Flamingo AI Limited,Trading,0
FGR,First Graphene Limited,Trading,"294,811.00"
FGX,Future Generation Investment Company Limited,Trading,--
FHS,Freehill Mining Limited,Trading,0
FID,Fiducian Group Limited,Trading,--
FIJ,Fiji Kava Limited,Trading,"7,873.00"
FIN,Fin Resources Limited,Trading,0
FLC,Fluence Corporation Limited,Trading,"8,561,233.00"
FLN,Freelancer Limited,Trading,"7,080,000.00"
FLOT,VanEck Vectors Australian Floating Rate ETF,Trading,--
FLT,Flight Centre Travel Group Limited,Trading,"190,851,000.00"
FMG,Fortescue Metals Group Ltd,Trading,"10,199,621.00"
FML,Focus Minerals Limited,Trading,0
FMS,Flinders Mines Limited,Trading,0
FNP,Freedom Foods Group Limited,Suspended,"77,155,000.00"
FNT,Frontier Resources Limited,Trading,0
FNX,Finexia Financial Group Limited,Trading,"76,000.00"
FOD,The Food Revolution Group Limited,Trading,"6,651,782.00"
FOOD,Betashares Global Agriculture ETF - Currency Hedged,Trading,--
FOR,Forager Australian Shares Fund,Trading,--
FPC,Fat Prophets Global Contrarian Fund Limited,Trading,--
FPH,Fisher & Paykel Healthcare Corporation Limited,Trading,"72,048,357.00"
FPL,Fremont Petroleum Corporation Limited,Trading,0
FPP,Fat Prophets Global Property Fund,Trading,--
FRI,Finbar Group Limited,Trading,--
FRM,Farm Pride Foods Limited,Trading,0
FRX,Flexiroam Limited,Trading,0
FSA,FSA Group Limited,Trading,"2,308,323.00"
FSF,Fonterra Shareholders' Fund,Trading,--
FSG,Field Solutions Holdings Limited,Trading,"1,708,725.00"
FSI,Flagship Investments Limited,Trading,--
FTC,FinTech Chain Limited,Trading,"40,432.00"
FTT,Factor Therapeutics Limited,Suspended,--
FTZ,Fertoz Limited,Trading,0
FUEL,Betashares Global Energy Companies ETF-Currency Hedged,Trading,--
FUN,Funtastic Limited,Trading,"102,000.00"
FWD,Fleetwood Corporation Limited,Trading,"13,032,000.00"
FXL,FlexiGroup Limited,Trading,"113,700,000.00"
FYI,FYI Resources Limited,Trading,0
FZO,Family Zone Cyber Safety Limited,Trading,"1,251,177.00"
FZR,Fitzroy River Corporation Ltd,Trading,"3,816,000.00"
G1A,Galena Mining Limited,Trading,0
G88,Golden Mile Resources Ltd,Trading,0
GAL,Galileo Mining Ltd,Trading,0
GAP,Gale Pacific Limited,Trading,"4,794,000.00"
GAS,State Gas Limited,Trading,0
GBE,Globe Metals & Mining Limited,Trading,0
GBND,BetaShares Sustainability Leaders Dvrsfd Bond ETF - Cur Hdg,Trading,--
GBR,Great Boulder Resources Limited,Trading,0
GBZ,GBM Resources Limited,Trading,0
GC1,Glennon Small Companies Limited,Trading,--
GCI,Gryphon Capital Income Trust,Trading,--
GCR,Golden Cross Resources Limited,Suspended,0
GCY,Gascoyne Resources Limited,Trading,0
GDF,Garda Diversified Property Fund,Trading,--
GDG,Generation Development Group Limited,Trading,"978,000.00"
GDI,GDI Property Group,Trading,--
GDX,VanEck Vectors Gold Miners ETF,Trading,--
GEAR,Betashares Geared Australian Equity Fund,Trading,--
GED,Golden Deeps Limited,Trading,0
GEM,G8 Education Limited,Trading,"3,250,000.00"
GES,Genesis Resources Limited,Trading,0
GEV,Global Energy Ventures Ltd,Trading,"6,214,830.00"
GFL,Global Masters Fund Limited,Trading,--
GGE,Grand Gulf Energy Limited,Trading,0
GGG,Greenland Minerals Limited,Trading,0
GGOV,BetaShares Global Government Bond 20+ Year ETF - Currency Hedged,Trading,--
GGUS,BetaShares Geared U.S. Equity Fund-Currency Hedged (hedge fund),Trading,--
GGX,Gas2Grid Limited,Trading,0
GIB,Gibb River Diamonds Limited,Trading,0
GLA,Gladiator Resources Limited,Trading,0
GLB,Globe International Limited,Trading,"217,000.00"
GLE,GLG Corp Limited,Trading,"6,655,981.00"
GLH,Global Health Limited,Trading,"3,939,689.00"
GLIN,AMP Capital Global Infrastructure Securities Fund (Unhedged),Trading,--
GLL,Galilee Energy Limited,Trading,0
GLN,Galan Lithium Limited,Trading,0
GLV,Global Oil and Gas Limited,Trading,0
GMA,Genworth Mortgage Insurance Australia Limited,Trading,--
GMC,Gulf Manganese Corporation Limited,Suspended,0
GMD,Genesis Minerals Limited,Trading,0
GME,GME Resources Limited,Trading,0
GMG,Goodman Group,Trading,--
GML,Gateway Mining Limited,Trading,0
GMN,Gold Mountain Limited,Trading,0
GMR,Golden Rim Resources Limited,Trading,0
GNC,Graincorp Limited,Trading,"50,400,000.00"
GNE,Genesis Energy Limited,Trading,"116,789,685.00"
GNG,GR Engineering Services Limited,Trading,"1,821,991.00"
GNM,Great Northern Minerals Limited,Trading,39
GNX,Genex Power Limited,Trading,0
GO2,The GO2 People Ltd,Trading,0
GOAT,VanEck Vectors Morningstar World ex Australia Wide Moat ETF,Trading,--
GOLD,ETFS Physical Gold,Trading,--
GOO,Gooroo Ventures Limited,Suspended,"805,857.00"
GOR,Gold Road Resources Limited,Trading,0
GOVT,SPDR S&P/ASX Australian Government Bond Fund,Trading,--
GOW,Gowing Brothers Ltd,Trading,--
GOZ,Growthpoint Properties Australia,Trading,--
GPR,Geopacific Resources Ltd,Trading,0
GPS,GPS Alliance Holdings Limited,Trading,--
GPT,GPT Group,Trading,--
GRB,Gage Roads Brewing Co Limited,Trading,"15,414,861.00"
GRL,Godolphin Resources Limited,Trading,0
GRNV,VanEck Vectors MSCI Australian Sustainable Equity ETF,Trading,--
GROW,Schroder Real Return Fund (Managed Fund),Trading,--
GRR,Grange Resources Limited,Trading,0
GRV,Greenvale Mining Ltd,Trading,0
GSM,Golden State Mining Limited,Trading,0
GSN,Great Southern Mining Limited,Trading,0
GSS,Genetic Signatures Limited,Trading,0
GSW,GetSwift Limited,Trading,"14,298,104.00"
GTE,Great Western Exploration Limited,Trading,0
GTG,Genetic Technologies Limited,Trading,0
GTK,Gentrack Group Limited,Trading,"56,100,547.00"
GTN,GTN Limited,Trading,"45,686,000.00"
GTR,GTI Resources Limited,Trading,0
GUD,GUD Holdings Limited,Trading,"121,436,000.00"
GUL,Gullewa Limited,Trading,0
GVF,Global Value Fund Limited,Trading,--
GWA,GWA Group Limited,Trading,"354,290,000.00"
GWR,GWR Group Limited,Trading,0
GXY,Galaxy Resources Limited,Trading,0
HACK,BetaShares Global Cybersecurity ETF ,Trading,--
HAS,Hastings Technology Metals Limited,Trading,0
HAV,Havilah Resources Limited,Trading,0
HAW,Hawthorn Resources Limited,Trading,0
HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),Trading,--
HCD,Hydrocarbon Dynamics Limited,Trading,"685,585.00"
HCH,Hot Chili Limited,Trading,0
HCT,Holista Colltech Limited,Trading,"203,743.00"
HE8,Helios Energy Ltd,Trading,0
HETH,BetaShares Global Sustainability Leaders ETF - Currency Hedged,Trading,--
HEUR,Betashares Europe ETF-Currency Hedged ,Trading,--
HFR,Highfield Resources Limited,Trading,0
HGH,Heartland Group Holdings Limited,Trading,--
HGL,Hudson Investment Group Limited,Trading,--
HGM,High Grade Metals Limited,Suspended,--
HGO,Hillgrove Resources Limited,Trading,0
HHM,Hampton Hill Mining NL,Suspended,0
HHY,HHY Fund,Suspended,--
HIL,Hills Limited ,Trading,"3,749,000.00"
HIT,HiTech Group Australia Limited,Trading,0
HJPN,Betashares Japan ETF-Currency Hedged,Trading,--
HLA,Healthia Limited,Trading,"2,102,000.00"
HLO,Helloworld Travel Limited,Trading,"298,280,000.00"
HLS,Healius Limited,Trading,"79,300,000.00"
HLTH,VanEck Vectors Global Healthcare Leaders ETF,Trading,--
HLX,Helix Resources Limited,Trading,0
HM1,Hearts and Minds Investments Ltd,Trading,--
HMC,Home Consortium,Trading,--
HMD,HeraMED Limited,Trading,"1,650,285.00"
HMX,Hammer Metals Limited,Trading,0
HNDQ,BetaShares NASDAQ 100 ETF - Currency Hedged,Trading,--
HNG,HGL Limited,Trading,"1,692,000.00"
HNR,Hannans Ltd,Trading,0
HOR,Horseshoe Metals Limited,Suspended,0
HPI,Hotel Property Investments,Trading,--
HPR,High Peak Royalties Limited,Trading,"11,002,027.00"
HQLT,BetaShares Global Quality Leaders ETF - Currency Hedged,Trading,--
HRL,HRL Holdings Ltd,Trading,"1,765,477.00"
HRN,Horizon Gold Limited,Trading,0
HRR,Heron Resources Limited,Trading,0
HRZ,Horizon Minerals Limited,Trading,0
HSC,HSC Technology Ltd,Trading,"1,385,489.00"
HSN,Hansen Technologies Limited,Trading,"157,965,000.00"
HT1,HT&E Limited,Trading,"372,297,000.00"
HT8,Harris Technology Group Limited,Trading,0
HTA,Hutchison Telecommunications (Australia) Limited,Trading,--
HTG,Harvest Technology Group Ltd,Trading,"7,791,092.00"
HUB,HUB24 Limited,Trading,"23,637,676.00"
HUO,Huon Aquaculture Group Limited,Trading,"430,000.00"
HVM,Happy Valley Nutrition Limited,Trading,0
HVN,Harvey Norman Holdings Ltd,Trading,"63,003,000.00"
HVST,Betashares Australian Dividend Harvester Fund ,Trading,--
HWH,Houston We Have Limited,Trading,"494,575.00"
HWK,Hawkstone Mining Limited,Trading,0
HXG,Hexagon Energy Materials Limited,Trading,0
HYD,Hydrix Limited,Trading,"6,606,457.00"
HZN,Horizon Oil Limited,Trading,0
HZR,Hazer Group Limited,Trading,0
IAA,iShares Asia 50 ETF,Trading,--
IAF,iShares Core Composite Bond ETF,Trading,--
IAG,Insurance Australia Group Limited,Trading,--
IAM,Intiger Group Limited,Suspended,0
IAP,Investec Australia Property Fund,Trading,--
IBC,Ironbark Capital Limited,Trading,--
IBG,Ironbark Zinc Ltd,Trading,0
IBX,Imagion Biosystems Limited,Trading,0
ICE,iCetana Limited,Trading,"1,385.00"
ICG,Inca Minerals Limited,Trading,0
ICI,iCandy Interactive Limited,Trading,"1,463,173.00"
ICN,Icon Energy Limited,Trading,0
ICOR,iShares Core Corporate Bond ETF,Trading,--
ICQ,Icar Asia Limited,Trading,"9,540,954.00"
ICR,InteliCare Holdings Limited,Trading,0
ICS,ICSGlobal Limited,Trading,"277,833.00"
ICT,iCollege Limited,Trading,"2,855,550.00"
ID8,identitii Limited,Trading,"62,112.00"
IDA,Indiana Resources Limited,Trading,0
IDT,IDT Australia Limited,Trading,"248,000.00"
IDX,Integral Diagnostics Limited,Trading,"27,254,000.00"
IDZ,Indoor Skydive Australia Group Limited,Trading,0
IEC,Intra Energy Corporation Limited,Trading,0
IEL,IDP Education Limited,Trading,"89,678,000.00"
IEM,iShares MSCI Emerging Markets ETF,Trading,--
IEQ,International Equities Corporation Limited,Trading,--
IEU,iShares Europe ETF,Trading,--
IFL,IOOF Holdings Limited,Trading,"343,958,000.00"
IFM,Infomedia Limited,Trading,"50,437,000.00"
IFN,Infigen Energy,Trading,"86,677,000.00"
IFRA,VanEck Vectors FTSE Global Infrastructure (Hedged) ETF,Trading,--
IFT,Infratil Limited,Trading,"34,220,532.00"
IGB,Ishares Treasury ETF,Trading,--
IGE,Integrated Green Energy Solutions Ltd,Suspended,"34,634.00"
IGL,IVE  Group Limited ,Trading,"25,730,000.00"
IGN,Ignite Limited,Trading,"30,000.00"
IGO,IGO Limited,Trading,0
IHCB,iShares Core Global Corporate Bond (AUD Hedged) ETF,Trading,--
IHD,iShares S&P/ASX High Dividend Opportunities ETF,Trading,--
IHEB,iShares JP Morgan USD Emerging Markets Bond (AUD Hedged) ETF ,Trading,--
IHHY,iShares Global High Yield Bond (AUD Hedged) ETF ,Trading,--
IHL,Incannex Healthcare Limited,Trading,--
IHOO,Ishares Global 100 AUD Hedged ETF,Trading,--
IHR,intelliHR Limited,Trading,"2,135,128.00"
IHVV,iShares S&P AUD Hedged ETF,Trading,--
IHWL,iShares Core MSCI World All Cap (AUD Hedged) ETF,Trading,--
IIGF,Intelligent Investor Australian Equity Growth Fund (Managed Fund),Trading,--
IIND,BetaShares India Quality ETF,Trading,--
IJH,iShares S&P Mid-Cap ETF,Trading,--
IJP,iShares MSCI Japan ETF,Trading,--
IJR,iShares S&P Small-Cap ETF,Trading,--
IKE,ikeGPS Group Limited,Trading,"6,338,110.00"
IKO,iShares MSCI South Korea ETF,Trading,--
IKW,Ikwezi Minings Limited,Trading,0
ILB,Ishares Government Inflation ETF,Trading,--
ILC,iShares S&P/ASX 20 ETF,Trading,--
ILU,Iluka Resources Limited,Trading,"3,500,000.00"
IMA,Image Resources NL,Trading,0
IMC,Immuron Limited,Trading,0
IMD,Imdex Limited,Trading,"25,798,000.00"
IME,ImExHS Limited,Trading,"469,887.00"
IMM,Immutep Limited,Trading,"15,084,845.00"
IMPQ,eInvest Future Impact Small Caps Fund (Managed Fund),Trading,--
IMR,Imricor Medical Systems Inc,Trading,0
IMS,Impelus Limited,Trading,"3,378,900.00"
IMU,Imugene Limited,Trading,"30,458,449.00"
INA,Ingenia Communities Group,Trading,--
INCM,BetaShares Global Income Leaders ETF,Trading,--
INES,Intelligent Investor Ethical Share Fund (Managed Fund),Trading,--
INF,Infinity Lithium Corporation Limited,Trading,0
ING,Inghams Group Limited,Trading,0
INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund),Trading,--
INP,IncentiaPay Limited,Trading,"4,296,000.00"
INR,ioneer Ltd,Trading,0
INV,InvestSMART Group Limited,Trading,--
IOD,IODM Limited,Trading,0
IOO,iShares Global 100 ETF,Trading,--
IOU,IOUpay Limited,Trading,"2,138,529.00"
IOZ,iShares Core S&P/ASX 200 ETF,Trading,--
IP1,Integrated Payment Technologies Limited,Trading,"2,611,156.00"
IPB,IPB Petroleum Limited,Trading,0
IPC,Imperial Pacific Limited,Trading,--
IPD,ImpediMed Limited,Trading,"3,886,000.00"
IPH,IPH Limited,Trading,"185,221,000.00"
IPL,Incitec Pivot Limited,Trading,"455,000,000.00"
IPT,Impact Minerals Limited,Trading,0
IQ3,IQ3CORP Limited,Trading,"307,986.00"
IRD,Iron Road Limited,Trading,0
IRE,IRESS Limited,Trading,"91,072,000.00"
IRI,Integrated Research Limited,Trading,"25,424,000.00"
IS3,I Synergy Group Limited,Trading,0
ISD,iSentia Group Limited,Trading,"26,016,000.00"
ISEC,Ishares Enhanced Cash ETF,Trading,--
ISO,iShares S&P/ASX Small Ordinaries ETF Index Fund ,Trading,--
ISU,iSelect Limited,Trading,"17,606,000.00"
ISX,iSIGNTHIS LTD,Suspended,"1,274,420.00"
ITG,Intega Group Limited,Trading,"11,548,000.00"
IVC,InvoCare Limited,Trading,"6,465,000.00"
IVE,iShares MSCI EAFE ETF,Trading,--
IVO,Invigor Group Limited,Suspended,0
IVQ,Invitrocue Limited,Suspended,"194,287.00"
IVR,Investigator Resources Ltd,Trading,0
IVT,Inventis Limited,Trading,"106,035.00"
IVV,iShares S&P 500 ETF,Trading,--
IVX,Invion Limited,Trading,"4,840,000.00"
IVZ,Invictus Energy Ltd,Trading,0
IWLD,iShares Core MSCI World All Cap ETF,Trading,--
IXC,Invex Therapeutics Ltd,Trading,--
IXI,iShares Global Consumer Staples ETF,Trading,--
IXJ,iShares Global Healthcare ETF,Trading,--
IXR,Ionic Rare Earths Limited,Trading,0
IXU,IXUP Limited,Trading,0
IYLD,iShares Yield Plus ETF,Trading,--
IZZ,iShares China Large-Cap ETF,Trading,--
JAL,Jameson Resources Limited,Trading,0
JAN,Janison Education Group Limited,Trading,"14,072,000.00"
JAT,Jatcorp Limited,Trading,"14,640,221.00"
JAY,Jayride Group Limited,Trading,"2,343,841.00"
JBH,JB Hi-Fi Limited,Trading,"284,400,000.00"
JCS,Jcurve Solutions Ltd,Trading,"2,883,703.00"
JDR,Jadar Resources Limited,Trading,0
JHC,Japara Healthcare Limited,Trading,"233,997,000.00"
JHG,Janus Henderson Group PLC,Trading,"4,408,506,994.00"
JHL,Jayex Healthcare Limited,Trading,"4,032,000.00"
JHX,James Hardie Industries Plc,Trading,"269,959,514.00"
JIN,Jumbo Interactive Limited,Trading,"15,722,000.00"
JLG,Johns Lyng Group Limited,Trading,"18,337,000.00"
JMS,Jupiter Mines Limited.,Trading,"3,131.00"
JPR,Jupiter Energy Limited,Trading,0
JRL,Jindalee Resources Limited,Trading,0
JRV,Jervois Mining Limited,Trading,"347,000.00"
JXT,Jaxsta Ltd,Trading,"336,534.00"
JYC,Joyce Corporation Limited,Trading,"180,000.00"
K2F,K2fly Limited,Trading,"337,773.00"
KAI,Kairos Minerals Limited,Trading,0
KAM,K2 Asset Management Holdings Limited,Trading,"5,359.00"
KAR,Karoon Energy Ltd,Trading,"307,258.00"
KAT,Katana Capital Limited,Trading,--
KAU,Kaiser Reef Limited,Suspended,0
KBC,Keybridge Capital Limited,Suspended,--
KCN,Kingsgate Consolidated Limited,Trading,0
KEY,Key Petroleum Limited,Trading,0
KFE,Kogi Iron Limited,Trading,0
KGD,Kula Gold Limited,Trading,--
KGL,KGL Resources Limited,Trading,"5,350.00"
KGM,Kalnorth Gold Mines Limited,Suspended,0
KGN,Kogan.com Ltd,Trading,"8,279,000.00"
KIN,Kin Mining NL,Trading,0
KIS,King Island Scheelilte Limited,Trading,0
KKC,KKR Credit Income Fund,Trading,--
KKL,Kollakorn Corporation Limited,Suspended,0
KKO,Kinetiko Energy Limited,Trading,0
KLA,Kirkland Lake Gold Ltd,Trading,0
KLL,Kalium Lakes Limited,Trading,0
KLO,Kingsland Global Ltd,Trading,--
KLR,Kaili Resources Limited,Trading,0
KMD,Kathmandu Holdings Limited,Trading,"379,275,227.00"
KME,Kip McGrath Education Centres Limited,Trading,"13,482,000.00"
KMT,Kopore Metals Limited,Trading,0
KNH,Koon Holdings Limited,Suspended,0
KNM,Kneomedia Limited,Trading,"632,439.00"
KNO,Knosys Limited,Trading,0
