ASX Code,Company Name,Status,NCA Intangibles(ExGW)
ALL,Aristocrat Leisure Limited,Trading,"1,085,200,000.00"
ALQ,ALS Limited,Trading,"48,200,000.00"
ALT,Analytica Limited,Trading,"315,914.00"
ALU,Altium Limited,Trading,"29,408,421.00"
ALX,Atlas Arteria,Trading,"2,438,598,000.00"
ALY,Alchemy Resources Limited,Trading,0
AMA,Ama Group Limited,Trading,"220,225,000.00"
AMC,Amcor Plc,Trading,"2,905,872,067.00"
AMD,Arrow Minerals Ltd,Trading,0
AME,Alto Metals Limited,Trading,0
AMG,Ausmex Mining Group Limited,Trading,"1,546.00"
AMH,AMCIL Limited,Trading,--
AMI,Aurelia Metals Limited,Trading,0
AML,Aeon Metals Limited,Trading,0
AMN,Agrimin Limited,Trading,0
AMO,Ambertech Limited,Trading,"278,000.00"
AMP,AMP Limited,Trading,--
AMS,Atomos Limited,Trading,"10,028,000.00"
AMT,Allegra Orthopaedics Limited,Trading,"179,653.00"
AMX,Aerometrex Limited,Trading,"4,787,000.00"
ANA,Ansila Energy NL,Suspended,0
ANG,Austin Engineering Limited,Trading,"1,807,000.00"
ANL,Amani Gold Limited,Trading,0
ANN,Ansell Limited,Trading,"336,878,915.00"
ANO,Advance NanoTek Limited,Trading,0
ANP,Antisense Therapeutics Limited,Trading,0
ANR,Anatara Lifesciences Ltd,Trading,0
ANS,AustSino Resources Group Limited,Suspended,0
ANW,Aus Tin Mining Ltd,Trading,0
ANX,Anax Metals Limited,Suspended,0
ANZ,Australia & New Zealand Banking Group Ltd,Trading,--
AO1,AssetOwl Limited,Trading,0
AOA,Ausmon Resources Limited,Trading,0
AOF,Australian Unity Office Property Fund,Trading,--
AON,Apollo Minerals Limited,Trading,0
AOP,Apollo Consolidated Limited,Trading,0
AOU,Auroch Minerals Ltd,Trading,0
APA,APA Group,Trading,"2,627,279,000.00"
APC,Australian Potash Limited,Trading,"5,375.00"
APD,APN Property Group Limited,Trading,--
APD,APN Property Group Limited,Trading,"1,700,000.00"
APE,Eagers Automotive Limited,Trading,"15,950,000.00"
APG,Austpac Resources NL,Trading,"2,000,000.00"
APH,Australian Primary Hemp Limited,Trading,0
API,Australian Pharmaceutical Industries Limited,Trading,"140,205,000.00"
APL,Antipodes Global Investment Company Limited,Trading,--
APT,Afterpay Limited,Trading,"66,782,000.00"
APV,AppsVillage Australia Limited,Trading,0
APW,Aims Property Securities Fund,Trading,--
APX,Appen Limited,Trading,"109,804,000.00"
APZ,Aspen Group,Trading,--
AQC,Australian Pacific Coal Limited,Trading,"5,620,000.00"
AQD,Ausquest Limited,Trading,0
AQI,Alicanto Minerals Limited,Trading,0
AQR,APN Convenience Retail REIT,Trading,--
AQS,Aquis Entertainment Limited,Trading,"1,842,542.00"
AQX,Alice Queen Limited,Trading,0
AQZ,Alliance Aviation Services Limited,Trading,"494,000.00"
AR9,archTIS Limited,Trading,"4,261,450.00"
ARA,Ariadne Australia Limited,Trading,--
ARB,ARB Corporation Limited,Trading,"12,864,000.00"
ARC,Australian Rural Capital Limited,Trading,--
ARD,Argent Minerals Limited,Trading,0
ARE,Argonaut Resources NL,Trading,0
ARF,Arena REIT,Trading,--
ARG,Argo Investments Limited,Trading,--
ARL,Ardea Resources Limited,Trading,0
ARN,Aldoro Resources Ltd,Trading,0
ARO,Astro Resources NL,Trading,0
